text,font_size,font_name,is_bold,is_italic,x0,y0,x1,y1,page,label
Application form for grant of LTC advance,11.670000076293944,"Arial,Bold",1,0,199.8600006103516,106.07516479492188,437.188720703125,119.1127471923828,1,Title
1.,9.744400024414062,Tahoma-Bold,1,0,70.0199966430664,135.93052673339844,82.12223815917969,147.69232177734375,1,Body
Name of the Government Servant,9.744400024414062,Tahoma,0,0,95.99856567382812,132.9877166748047,243.4351806640625,144.74951171875,1,Body
2.,9.744400024414062,Tahoma-Bold,1,0,70.0199966430664,154.04539489746094,82.12223815917969,165.80718994140625,1,Body
Designation,9.744400024414062,Tahoma,0,0,95.99856567382812,151.0441131591797,149.32186889648438,162.805908203125,1,Body
3.,9.744400024414062,Tahoma-Bold,1,0,70.0199966430664,180.9204559326172,82.12223815917969,192.6822509765625,1,Body
Date of entering the Central Government,9.744400024414062,Tahoma,0,0,95.99856567382812,169.1589813232422,296.0151062011719,180.9207763671875,1,Body
Service,9.744400024414062,Tahoma,0,0,95.99856567382812,186.73789978027344,129.72491455078125,198.49969482421875,1,Body
4.,9.744400024414062,Tahoma-Bold,1,0,70.0199966430664,207.79551696777344,82.12223815917969,219.55731201171875,1,Body
PAY + SI + NPA,9.744400024414062,Tahoma,0,0,95.99856567382812,204.8527069091797,168.8896026611328,216.614501953125,1,Body
5.,9.744400024414062,Tahoma-Bold,1,0,70.0199966430664,225.91038513183597,82.12223815917969,237.67218017578125,1,Body
Whether permanent or temporary,9.744400024414062,Tahoma,0,0,95.99856567382812,222.9091033935547,244.09878540039065,234.6708984375,1,Body
6.,9.744400024414062,Tahoma-Bold,1,0,70.0199966430664,241.09214782714844,82.12223815917969,252.85394287109372,1,Body
Home Town as recorded in the Service Book,9.744400024414062,Tahoma,0,0,95.99856567382812,241.09214782714844,289.5223693847656,252.85394287109372,1,Body
7.,9.744400024414062,Tahoma-Bold,1,0,70.0199966430664,265.0341796875,82.12223815917969,276.79595947265625,1,Body
Whether wife / husband is employed and if,9.744400024414062,Tahoma,0,0,95.99856567382812,253.27268981933597,295.94482421875,265.03448486328125,1,Body
so whether entitled to LTC,9.744400024414062,Tahoma,0,0,95.99856567382812,270.85162353515625,212.8202362060547,282.6134033203125,1,Body
8.,9.744400024414062,Tahoma-Bold,1,0,70.0199966430664,309.556396484375,82.12223815917969,321.31817626953125,1,Body
