document,section_title,text,page_number,tfidf_sim_persona,tfidf_sim_job,section_length,title_length,relevance
Document_2.pdf,Analysis,This is a sample text for the section Analysis. It contains information relevant to the topic.,8,0.949,0.535,119,8,0
Document_1.pdf,Limitations,This is a sample text for the section Limitations. It contains information relevant to the topic.,14,0.931,0.476,433,11,1
Document_5.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,16,0.552,0.204,111,10,0
Document_6.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,16,0.056,0.998,58,8,1
Document_9.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,11,0.789,0.727,236,10,1
Document_4.pdf,Methodology,This is a sample text for the section Methodology. It contains information relevant to the topic.,8,0.147,0.985,77,11,0
Document_7.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,3,0.948,0.03,221,10,1
Document_9.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,4,0.214,0.179,225,8,0
Document_5.pdf,Methodology,This is a sample text for the section Methodology. It contains information relevant to the topic.,3,0.352,0.959,347,11,1
Document_4.pdf,Appendix,This is a sample text for the section Appendix. It contains information relevant to the topic.,15,0.545,0.282,318,8,0
Document_4.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,4,0.984,0.029,158,10,1
Document_4.pdf,Future Work,This is a sample text for the section Future Work. It contains information relevant to the topic.,15,0.498,0.776,382,11,1
Document_1.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,12,0.687,0.216,447,10,0
Document_5.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,16,0.715,0.207,102,10,0
Document_1.pdf,Summary,This is a sample text for the section Summary. It contains information relevant to the topic.,8,0.923,0.5,334,7,1
Document_4.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,1,0.42,0.492,293,10,0
Document_3.pdf,Conclusion,This is a sample text for the section Conclusion. It contains information relevant to the topic.,2,0.478,0.026,453,10,0
Document_1.pdf,References,This is a sample text for the section References. It contains information relevant to the topic.,9,0.412,0.155,389,10,1
Document_4.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,5,0.503,0.708,430,8,1
Document_5.pdf,Conclusion,This is a sample text for the section Conclusion. It contains information relevant to the topic.,4,0.151,0.021,118,10,1
Document_9.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,4,0.485,0.209,467,10,0
Document_9.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,13,0.222,0.14,421,10,1
Document_1.pdf,Analysis,This is a sample text for the section Analysis. It contains information relevant to the topic.,9,0.644,0.064,318,8,0
Document_4.pdf,Introduction,This is a sample text for the section Introduction. It contains information relevant to the topic.,3,0.01,0.624,108,12,0
Document_6.pdf,Recommendations,This is a sample text for the section Recommendations. It contains information relevant to the topic.,18,0.309,0.832,178,15,0
Document_8.pdf,Future Work,This is a sample text for the section Future Work. It contains information relevant to the topic.,8,0.566,0.392,493,11,1
Document_10.pdf,References,This is a sample text for the section References. It contains information relevant to the topic.,19,0.505,0.57,336,10,1
Document_10.pdf,Appendix,This is a sample text for the section Appendix. It contains information relevant to the topic.,6,0.868,0.296,310,8,0
Document_1.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,9,0.867,0.593,319,8,0
Document_10.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,11,0.66,0.165,200,8,1
Document_3.pdf,Analysis,This is a sample text for the section Analysis. It contains information relevant to the topic.,18,0.353,0.724,444,8,1
Document_10.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,18,0.258,0.608,273,8,0
Document_10.pdf,Introduction,This is a sample text for the section Introduction. It contains information relevant to the topic.,18,0.247,0.88,262,12,0
Document_9.pdf,Analysis,This is a sample text for the section Analysis. It contains information relevant to the topic.,2,0.648,0.947,448,8,1
Document_5.pdf,Recommendations,This is a sample text for the section Recommendations. It contains information relevant to the topic.,8,0.115,0.07,271,15,1
Document_8.pdf,Discussion,This is a sample text for the section Discussion. It contains information relevant to the topic.,4,0.449,0.358,73,10,0
Document_8.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,19,0.433,0.472,254,10,0
Document_10.pdf,Methodology,This is a sample text for the section Methodology. It contains information relevant to the topic.,14,0.129,0.877,74,11,0
Document_7.pdf,Summary,This is a sample text for the section Summary. It contains information relevant to the topic.,3,0.549,0.573,163,7,1
Document_3.pdf,Conclusion,This is a sample text for the section Conclusion. It contains information relevant to the topic.,3,0.663,0.251,290,10,1
Document_5.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,5,0.322,0.218,305,8,0
Document_4.pdf,Appendix,This is a sample text for the section Appendix. It contains information relevant to the topic.,15,0.876,0.629,357,8,1
Document_4.pdf,Introduction,This is a sample text for the section Introduction. It contains information relevant to the topic.,17,0.63,0.693,360,12,0
Document_5.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,5,0.198,0.115,384,7,0
Document_6.pdf,Conclusion,This is a sample text for the section Conclusion. It contains information relevant to the topic.,12,0.177,0.961,148,10,0
Document_3.pdf,Scope,This is a sample text for the section Scope. It contains information relevant to the topic.,3,0.289,0.722,458,5,0
Document_4.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,16,0.758,0.509,447,8,0
Document_5.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,8,0.874,0.058,369,8,0
Document_10.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,19,0.379,0.604,495,10,0
Document_7.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,9,0.526,0.083,456,10,1
Document_7.pdf,Summary,This is a sample text for the section Summary. It contains information relevant to the topic.,12,0.921,0.669,92,7,1
Document_6.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,20,0.062,0.193,194,10,1
Document_9.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,1,0.27,0.574,177,10,0
Document_3.pdf,Appendix,This is a sample text for the section Appendix. It contains information relevant to the topic.,8,0.108,0.916,322,8,1
Document_8.pdf,Methodology,This is a sample text for the section Methodology. It contains information relevant to the topic.,9,0.261,0.908,275,11,0
Document_4.pdf,Introduction,This is a sample text for the section Introduction. It contains information relevant to the topic.,7,0.733,0.799,146,12,0
Document_8.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,4,0.5,0.579,202,7,1
Document_2.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,8,0.918,0.488,234,7,1
Document_2.pdf,Scope,This is a sample text for the section Scope. It contains information relevant to the topic.,13,0.92,0.668,434,5,0
Document_3.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,13,0.999,0.667,499,8,1
Document_1.pdf,Scope,This is a sample text for the section Scope. It contains information relevant to the topic.,20,0.815,0.051,347,5,1
Document_2.pdf,References,This is a sample text for the section References. It contains information relevant to the topic.,20,0.491,0.258,180,10,0
Document_7.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,20,0.148,0.64,345,8,1
Document_5.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,17,0.309,0.775,446,10,1
Document_10.pdf,Introduction,This is a sample text for the section Introduction. It contains information relevant to the topic.,11,0.837,0.506,432,12,0
Document_1.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,7,0.372,0.868,346,10,0
Document_1.pdf,Summary,This is a sample text for the section Summary. It contains information relevant to the topic.,10,0.489,0.093,269,7,1
Document_10.pdf,Appendix,This is a sample text for the section Appendix. It contains information relevant to the topic.,7,0.01,0.641,229,8,0
Document_3.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,12,0.327,0.686,173,8,1
Document_2.pdf,Recommendations,This is a sample text for the section Recommendations. It contains information relevant to the topic.,7,0.51,0.295,280,15,0
